192.168.237.167-192.168.237.97-53-56552-17,192.168.237.167,56552,192.168.237.97,53,17,,0.0,0,300,64,64,0,0,DNS,0,0,0,2,0,0,0,0,0,150,0,0,0.0,0.0,2024-09-03T12:57:16.897010,2024-09-03T12:57:16.897010,0.0,0.0,0.0,0.0,0.0,False,0,0,False,0,6,6,21,12,2,12,6,
--443-13333-,,13333,,443,,OTH,0.0,0,5135,0,0,0,0,TCP,0,0,0,16,66048,66048,2026,1905,0,320,0,0,0.0,0.0,2024-09-03T12:57:18.705136,2024-09-03T12:57:18.705136,0.0,0.0,0.035691,4.4e-05,0.0,False,0,0,False,0,12,12,166,166,83,16,12,
157.240.15.61-192.168.237.167-5222-13110-6,192.168.237.167,13110,157.240.15.61,5222,6,OTH,0.0,0,886,55,55,0,0,TCP,0,0,0,12,352,352,99,141,0,73,0,0,0.0,0.0,2024-09-03T12:57:27.419266,2024-09-03T12:57:27.419266,0.0,0.0,0.0,0.080211,0.0,False,0,0,False,0,6,6,251,12,12,12,6,
192.168.237.167-192.168.237.97-53-55559-17,192.168.237.167,55559,192.168.237.97,53,17,,0.0,0,1927,64,64,0,0,DNS,0,0,0,14,0,0,0,0,0,137,0,0,0.0,0.0,2024-09-03T12:58:01.617056,2024-09-03T12:58:01.617056,0.0,0.0,0.0,0.0,0.0,False,0,0,False,0,33,34,347,67,14,67,34,
192.168.237.167-192.168.237.97-53-57941-17,192.168.237.167,57941,192.168.237.97,53,17,,0.0,0,1115,64,64,0,0,DNS,0,0,0,9,0,0,0,0,0,123,0,0,0.0,0.0,2024-09-03T12:57:38.906719,2024-09-03T12:57:38.906719,0.0,0.0,0.0,0.0,0.0,False,0,0,False,0,27,28,299,55,9,55,28,
192.168.237.167-23.21.91.115-443-13334-6,192.168.237.167,13334,23.21.91.115,443,6,OTH,0.0,0,8884,128,128,0,0,TCP,0,0,0,19,64512,64512,1049,6787,0,467,0,0,0.0,0.0,2024-09-03T12:57:19.239892,2024-09-03T12:57:19.239892,0.0,0.0,0.270008,0.053605,0.0,False,0,0,False,0,4,6,19,146,100,19,6,
192.168.237.167-192.168.237.97-53-49919-17,192.168.237.167,49919,192.168.237.97,53,17,,0.0,0,261,64,64,0,0,DNS,0,0,0,2,0,0,0,0,0,130,0,0,0.0,0.0,2024-09-03T12:57:17.854254,2024-09-03T12:57:17.854254,0.0,0.0,0.0,0.0,0.0,False,0,0,False,0,9,13,36,22,2,22,13,
192.168.237.167-192.168.237.97-53-60686-17,192.168.237.167,60686,192.168.237.97,53,17,,0.0,0,240,64,64,0,0,DNS,0,0,0,2,0,0,0,0,0,120,0,0,0.0,0.0,2024-09-03T12:57:17.855148,2024-09-03T12:57:17.855148,0.0,0.0,0.0,0.0,0.0,False,0,0,False,0,10,13,37,23,2,23,13,
192.168.237.167-192.168.237.97-53-58580-17,192.168.237.167,58580,192.168.237.97,53,17,,0.0,0,261,64,64,0,0,DNS,0,0,0,2,0,0,0,0,0,130,0,0,0.0,0.0,2024-09-03T12:57:17.868010,2024-09-03T12:57:17.868010,0.0,0.0,0.0,0.0,0.0,False,0,0,False,0,13,13,41,26,2,26,13,
192.168.237.167-192.168.237.97-53-52247-17,192.168.237.167,52247,192.168.237.97,53,17,,0.0,0,261,64,64,0,0,DNS,0,0,0,2,0,0,0,0,0,130,0,0,0.0,0.0,2024-09-03T12:57:17.867892,2024-09-03T12:57:17.867892,0.0,0.0,0.0,0.0,0.0,False,0,0,False,0,11,13,39,24,2,24,13,
192.168.237.167-192.168.237.97-53-55040-17,192.168.237.167,55040,192.168.237.97,53,17,,0.0,0,240,64,64,0,0,DNS,0,0,0,2,0,0,0,0,0,120,0,0,0.0,0.0,2024-09-03T12:57:17.867981,2024-09-03T12:57:17.867981,0.0,0.0,0.0,0.0,0.0,False,0,0,False,0,12,13,40,25,2,25,13,
13.33.28.95-192.168.237.167-443-13335-6,192.168.237.167,13335,13.33.28.95,443,6,OTH,0.0,0,16449,128,128,0,0,TCP,0,0,0,36,65792,65792,2869,11616,0,456,0,0,0.0,0.0,2024-09-03T12:57:18.542645,2024-09-03T12:57:18.542645,0.0,0.0,0.070693,4.7e-05,0.0,False,0,0,False,0,11,11,36,112,76,36,11,
192.168.237.167-192.168.237.97-53-55077-17,192.168.237.167,55077,192.168.237.97,53,17,,0.0,0,371,64,64,0,0,DNS,0,0,0,2,0,0,0,0,0,185,0,0,0.0,0.0,2024-09-03T12:57:18.164373,2024-09-03T12:57:18.164373,0.0,0.0,0.0,0.0,0.0,False,0,0,False,0,14,16,72,30,2,30,16,
192.168.237.167-192.168.237.97-53-52389-17,192.168.237.167,52389,192.168.237.97,53,17,,0.0,0,311,64,64,0,0,DNS,0,0,0,2,0,0,0,0,0,155,0,0,0.0,0.0,2024-09-03T12:57:18.165013,2024-09-03T12:57:18.165013,0.0,0.0,0.0,0.0,0.0,False,0,0,False,0,15,16,73,31,2,31,16,
192.168.237.167-192.168.237.97-53-65379-17,192.168.237.167,65379,192.168.237.97,53,17,,0.0,0,371,64,64,0,0,DNS,0,0,0,2,0,0,0,0,0,185,0,0,0.0,0.0,2024-09-03T12:57:18.170900,2024-09-03T12:57:18.170900,0.0,0.0,0.0,0.0,0.0,False,0,0,False,0,16,16,74,32,2,32,16,
192.168.237.167-20.194.184.156-443-13336-6,192.168.237.167,13336,20.194.184.156,443,6,OTH,0.0,0,17881,128,128,0,0,TCP,0,0,0,44,64512,64512,6220,9265,0,406,0,0,0.0,0.0,2024-09-03T12:57:28.636353,2024-09-03T12:57:28.636353,0.0,0.0,0.14488,6.7e-05,0.0,False,0,0,False,0,13,13,44,276,213,44,13,
192.168.237.167-192.168.237.97-53-54689-17,192.168.237.167,54689,192.168.237.97,53,17,,0.0,0,283,64,64,0,0,DNS,0,0,0,2,0,0,0,0,0,141,0,0,0.0,0.0,2024-09-03T12:57:18.689524,2024-09-03T12:57:18.689524,0.0,0.0,0.0,0.0,0.0,False,0,0,False,0,18,19,131,37,2,37,19,
192.168.237.167-192.168.237.97-53-62283-17,192.168.237.167,62283,192.168.237.97,53,17,,0.0,0,259,64,64,0,0,DNS,0,0,0,2,0,0,0,0,0,129,0,0,0.0,0.0,2024-09-03T12:57:18.690234,2024-09-03T12:57:18.690234,0.0,0.0,0.0,0.0,0.0,False,0,0,False,0,19,19,132,38,2,38,19,
192.168.237.167-192.168.237.97-53-58656-17,192.168.237.167,58656,192.168.237.97,53,17,,0.0,0,286,64,64,0,0,DNS,0,0,0,2,0,0,0,0,0,143,0,0,0.0,0.0,2024-09-03T12:57:18.688297,2024-09-03T12:57:18.688297,0.0,0.0,0.0,0.0,0.0,False,0,0,False,0,17,19,130,36,2,36,19,
--443-13337-,,13337,,443,,OTH,0.0,0,17672,0,0,0,0,TCP,0,0,0,40,65536,65536,7512,7180,0,441,0,0,0.0,0.0,2024-09-03T12:57:28.758377,2024-09-03T12:57:28.758377,0.0,0.0,0.074455,4.9e-05,0.0,False,0,0,False,0,49,49,276,276,138,40,49,
192.168.237.167-34.227.55.172-443-13338-6,192.168.237.167,13338,34.227.55.172,443,6,OTH,0.0,0,19426,128,128,0,0,TCP,0,0,0,44,65280,65280,9398,7630,0,441,0,0,0.0,0.0,2024-09-03T12:57:28.763371,2024-09-03T12:57:28.763371,0.0,0.0,0.24299,0.041844,0.0,False,0,0,False,0,12,11,44,278,215,44,11,
192.168.237.167-34.237.73.95-443-13174-6,192.168.237.167,13174,34.237.73.95,443,6,OTH,0.0,0,2656,128,128,0,0,TCP,0,0,0,12,252,252,961,1049,0,221,0,0,0.0,0.0,2024-09-03T12:58:07.443674,2024-09-03T12:58:07.443674,0.0,0.0,0.0,0.040935,0.0,False,0,0,False,0,4,0,12,366,269,12,0,
192.168.237.167-3.224.72.103-443-13339-6,192.168.237.167,13339,3.224.72.103,443,6,OTH,0.0,0,16594,128,128,0,0,TCP,0,0,0,32,65024,65024,8819,6025,0,518,0,0,0.0,0.0,2024-09-03T12:57:27.858677,2024-09-03T12:57:27.858677,0.0,0.0,0.512484,0.043834,0.0,False,0,0,False,0,12,7,32,261,199,32,7,
192.168.237.167-23.212.252.120-443-13329-6,192.168.237.167,13329,23.212.252.120,443,6,OTH,0.0,0,294,128,128,0,0,TCP,0,0,0,5,0,0,2,25,0,58,0,0,0.0,0.0,2024-09-03T12:57:21.996179,2024-09-03T12:57:21.996179,0.0,0.0,0.0,7.1e-05,0.0,False,0,0,False,0,3,2,5,187,135,5,2,
192.168.237.167-35.174.127.31-443-13240-6,192.168.237.167,13240,35.174.127.31,443,6,OTH,0.0,0,2913,128,128,0,0,TCP,0,0,0,16,252,252,983,1068,0,182,0,0,0.0,0.0,2024-09-03T12:58:12.436183,2024-09-03T12:58:12.436183,0.0,0.0,0.0,0.040663,0.0,False,0,0,False,0,4,2,16,375,276,16,2,
--443-13340-,,13340,,443,,OTH,0.0,0,5199,0,0,0,0,TCP,0,0,0,16,66048,66048,2090,1905,0,324,0,0,0.0,0.0,2024-09-03T12:57:28.721289,2024-09-03T12:57:28.721289,0.0,0.0,0.064315,4.6e-05,0.0,False,0,0,False,0,46,46,270,270,135,16,46,
13.33.28.95-192.168.237.167-443-13341-6,192.168.237.167,13341,13.33.28.95,443,6,OTH,0.0,0,3380,128,128,0,0,TCP,0,0,0,16,65280,65280,2052,444,0,211,0,0,0.0,0.0,2024-09-03T12:57:28.566785,2024-09-03T12:57:28.566785,0.0,0.0,0.104763,9.8e-05,0.0,False,0,0,False,0,17,16,52,273,211,16,16,
192.168.237.167-192.168.237.97-53-62670-17,192.168.237.167,62670,192.168.237.97,53,17,,0.0,0,176,64,64,0,0,DNS,0,0,0,2,0,0,0,0,0,88,0,0,0.0,0.0,2024-09-03T12:57:25.620841,2024-09-03T12:57:25.620841,0.0,0.0,0.0,0.0,0.0,False,0,0,False,0,24,25,216,49,2,49,25,
192.168.237.167-192.168.237.97-53-49349-17,192.168.237.167,49349,192.168.237.97,53,17,,0.0,0,240,64,64,0,0,DNS,0,0,0,2,0,0,0,0,0,120,0,0,0.0,0.0,2024-09-03T12:57:25.621021,2024-09-03T12:57:25.621021,0.0,0.0,0.0,0.0,0.0,False,0,0,False,0,25,25,217,50,2,50,25,
192.168.237.167-35.153.224.125-4650-13121-6,192.168.237.167,13121,35.153.224.125,4650,6,OTH,0.0,0,623,43,43,0,0,TCP,0,0,0,7,249,249,53,181,0,89,0,0,0.0,0.0,2024-09-03T12:58:14.499727,2024-09-03T12:58:14.499727,0.0,0.0,0.0,0.276089,0.0,False,0,0,False,0,3,1,377,7,7,12,1,
192.168.237.167-3.224.94.60-4650-13106-6,192.168.237.167,13106,3.224.94.60,4650,6,OTH,0.0,0,623,44,44,0,0,TCP,0,0,0,7,249,249,53,181,0,89,0,0,0.0,0.0,2024-09-03T12:58:15.364695,2024-09-03T12:58:15.364695,0.0,0.0,0.0,0.235075,0.0,False,0,0,False,0,3,1,385,7,7,14,1,
